Rep,Model,CR,CS,Cost_0.5,Cost_0.6,Cost_0.7,Cost_0.8,Cost_0.9,Cost_0.95
3,MQR,0.09523809523809523,0.31063112616539,5.242183,6.4610934,7.9636593,9.934154,13.6612215,17.330187
3,RMQR,0.07376283846872082,0.28458109498023987,5.2730036,6.419908,7.906816,9.913909,13.345742,16.835382
3,PMQR,0.06442577030812324,0.2226378321647644,5.407159,6.6235194,8.024486,10.169238,13.555975,17.257214
3,RPMQR,0.06069094304388422,0.19679321348667145,5.2206154,6.4169407,7.790709,9.808631,12.985637,16.336365
3,Mono,0.0,0.0,6.062829,6.7346444,7.9725375,10.046546,13.582906,17.768583
3,RMono,0.0,0.0,5.8120093,6.5648446,7.860812,9.72929,13.033413,16.8151
3,NCMQR,0.0,0.0,5.618204,6.7873993,8.376872,10.223673,13.518017,17.51738
3,RNCMQR,0.0,0.0,5.3798933,6.5509987,7.915306,9.815524,12.962989,16.457634
3,Rearrangement,0.0,0.0,5.2433376,6.459364,7.9613104,9.921983,13.661267,17.32922
3,Isotonic,0.0,0.0,5.242754,6.4605017,7.9626346,9.927143,13.660762,17.328825
4,SQR,0.5368814192343604,1.95929753780365,5.2872605,6.8048453,8.262596,10.356663,14.259563,17.460571
4,RSQR,0.5452847805788982,1.259840488433838,5.230568,6.5411587,8.300164,10.424252,15.161454,18.062843
4,MQR,0.05228758169934641,0.4189773201942444,5.450928,6.6321077,8.119133,10.157783,13.342488,17.139486
4,RMQR,0.028944911297852476,0.6787365674972534,5.2120404,6.3907695,7.810444,9.810366,13.203383,16.766842
4,PMQR,0.12605042016806722,0.30815452337265015,5.4120216,6.6759715,8.144433,10.302129,13.916512,17.96151
4,RPMQR,0.05322128851540616,0.288656622171402,5.3304877,6.6140056,7.9851804,10.10995,13.679694,17.188768
4,Mono,0.0,0.0,5.548384,6.4058347,7.769441,10.030659,13.661917,17.11358
4,RMono,0.0,0.0,5.501194,6.3278418,7.5589623,9.339433,12.772485,16.413088
4,NCMQR,0.0,0.0,5.4799223,6.403041,7.998335,9.816183,13.072884,16.77678
4,RNCMQR,0.0,0.0,5.261459,6.402227,7.785532,9.639763,12.890328,16.521164
4,Rearrangement,0.0,0.0,5.4504423,6.6239095,8.121385,10.163045,13.338171,17.139486
4,Isotonic,0.0,0.0,5.4506855,6.627438,8.119676,10.160256,13.340329,17.139486
5,SQR,0.5471521942110178,1.6339898109436035,5.4421573,7.011537,8.104074,10.764396,14.043342,17.718489
5,RSQR,0.3734827264239029,0.7350010871887207,5.5637927,7.147373,8.497442,11.2632885,14.505084,18.398031
5,MQR,0.035480859010270774,0.37248051166534424,5.369765,6.628808,8.347108,10.64125,13.898765,17.981627
5,RMQR,0.24649859943977592,0.6550464034080505,5.866522,7.268294,8.996639,11.255075,15.312336,19.838058
5,PMQR,0.08309990662931839,0.2274595946073532,5.4173193,6.577336,8.105748,10.175011,13.5024,16.669521
5,RPMQR,0.018674136321195144,0.5156815648078918,5.5126014,6.825565,8.460448,10.78176,14.146313,18.399168
5,Mono,0.0,0.0,5.7210755,6.6630597,8.123247,10.09588,13.920519,18.077164
5,RMono,0.0,0.0,5.7862263,6.7120266,8.279431,10.621134,14.272512,18.760376
5,NCMQR,0.0,0.0,5.493168,6.7249346,8.316772,10.415437,13.721063,17.5145
5,RNCMQR,0.0,0.0,5.333254,6.5063047,7.9650087,9.8903675,13.203259,17.027086
5,Rearrangement,0.0,0.0,5.369765,6.6260586,8.344102,10.6444025,13.899135,17.981806
5,Isotonic,0.0,0.0,5.369765,6.627434,8.345174,10.642245,13.898885,17.981714
6,SQR,0.5723622782446312,1.6975798606872559,5.375239,6.980661,8.300265,11.310035,14.230352,18.267872
6,RSQR,0.4126984126984127,1.125763177871704,5.6092353,6.724746,7.8008213,10.103765,14.199748,17.727331
6,MQR,0.30532212885154064,0.3586914837360382,5.4476233,6.5858345,8.002886,10.378305,14.0553665,18.126368
6,RMQR,0.06255835667600373,0.29829126596450806,5.2725506,6.5065317,8.074664,10.000786,13.488743,17.44934
6,PMQR,0.04108309990662932,0.24296508729457855,5.2781467,6.4217396,7.836747,9.916277,13.354137,16.5567
6,RPMQR,0.051353874883286646,0.16667146980762482,5.272585,6.4934807,8.07558,10.164762,13.837522,18.299177
6,Mono,0.0,0.0,5.5515695,6.4411254,7.765449,10.1459255,13.451203,17.406216
6,RMono,0.0,0.0,5.369634,6.2533526,7.5893307,9.450173,12.600355,16.24232
6,NCMQR,0.0,0.0,5.212497,6.3440156,7.7625813,9.698218,12.986307,16.573591
6,RNCMQR,0.0,0.0,5.2769694,6.422863,7.9046116,9.750643,12.932837,16.378712
6,Rearrangement,0.0,0.0,5.424782,6.604957,8.004639,10.353379,14.003877,18.123009
6,Isotonic,0.0,0.0,5.4350977,6.592804,8.003832,10.360071,14.033616,18.12708
7,SQR,0.24089635854341737,1.094691276550293,5.3526583,6.5322084,8.044536,10.186014,14.557444,20.003345
7,RSQR,0.48366013071895425,1.05095374584198,5.2786818,6.4296174,7.7845693,10.06039,14.062122,18.703882
7,MQR,0.08029878618113913,0.5704345107078552,5.579124,6.762616,8.135524,10.228073,13.706348,17.32854
7,RMQR,0.017740429505135387,0.07203610986471176,5.264117,6.398204,7.801491,9.642246,13.0453205,16.509829
7,PMQR,0.06069094304388422,0.23922690749168396,5.3268085,6.5052204,7.8764114,9.934901,13.305562,18.104458
7,RPMQR,0.02334267040149393,0.3248135447502136,5.295135,6.4245796,7.8286376,9.738845,13.022119,16.862772
7,Mono,0.0,0.0,6.059297,6.7844653,7.966819,10.117952,13.294797,16.611418
7,RMono,0.0,0.0,5.4777718,6.3393073,7.6411276,9.528561,12.644685,16.251787
